ws,h,w,s,alpha,alphatop50,alphatop25
5.0,150.0,3.0,4,0.2207069892315157,0.12825833865694122,0.2957154131636477
5.0,150.0,3.0,6,0.22957050572661675,0.05821881433516472,0.2957154131592476
5.0,150.0,3.0,8,0.23732373031454013,-0.003051863181313743,0.2957154131548477
5.0,150.0,3.0,10,0.2442369896086902,-0.05768827143633599,0.2957154131504476
5.0,150.0,7.5,4,0.25534281575317946,-0.1495305554274298,0.2720104161337851
5.0,150.0,7.5,6,0.2774482303172379,-0.3259286542480352,0.2602398305441004
5.0,150.0,7.5,8,0.2967823559039689,-0.4802858280793099,0.24852302945567836
5.0,150.0,7.5,10,0.31402012455930933,-0.6179636832773436,0.2368594089247743
5.0,150.0,15.0,4,0.3122417172287289,-0.6238255915766856,-0.7213498448824163
5.0,150.0,15.0,6,0.3560670583775981,-0.9814053814967486,-1.174288051174521
5.0,150.0,15.0,8,0.3943817779884581,-1.2940647296345666,-1.5976435981320314
5.0,150.0,15.0,10,0.42852938313527567,-1.5727072632886239,-1.9954716783461401
5.0,150.0,22.5,4,0.36722859341145225,-0.9647212844682302,-2.046213911037066
5.0,150.0,22.5,6,0.43196116207255425,-1.4371266408417624,-2.998184992287439
5.0,150.0,22.5,8,0.48850896304341423,-1.8425764188143827,-3.848160163209939
5.0,150.0,22.5,10,0.5388711540533293,-2.1977036151521525,-4.616300056679418
5.0,150.0,30.0,4,0.41796349361658275,-1.0247151689705818,-2.644115052170838
5.0,150.0,30.0,6,0.5017027639614579,-1.489907806236226,-3.7480591949444246
5.0,150.0,30.0,8,0.574686660501638,-1.8762707863775214,-4.69499810253999
5.0,150.0,30.0,10,0.639550031653503,-2.2048450389678957,-5.5213862072749516
5.0,150.0,37.5,4,0.4586565595375238,-0.9091483746865042,-2.6041743214472373
5.0,150.0,37.5,6,0.5567747092729782,-1.3060051567241202,-3.6104988490596166
5.0,150.0,37.5,8,0.6417613806216655,-1.6241929659384522,-4.43951293303261
5.0,150.0,37.5,10,0.7168574503586788,-1.886469653934456,-5.137666788915568
5.0,200.0,4.0,4,0.25141542008710854,0.9021697115854297,2.2533600021525104
5.0,200.0,4.0,6,0.27223795831362974,1.1304706006188967,3.0097116459444684
5.0,200.0,4.0,8,0.2905221539801863,1.3309351299359375,3.6737845794221475
5.0,200.0,4.0,10,0.3068717349513219,1.5101842302200512,4.267530182857766
5.0,200.0,10.0,4,0.31724310751572693,1.5882870772071316,4.1992815083644475
5.0,200.0,10.0,6,0.36252801249563354,2.0686370831125913,5.642321248058459
5.0,200.0,10.0,8,0.4018585098572821,2.4845775524763423,6.880027027045321
5.0,200.0,10.0,10,0.4366929005670011,2.85198228354772,7.96392566552395
5.0,200.0,20.0,4,0.3854093384708704,2.1044482256636496,3.9471909023818124
5.0,200.0,20.0,6,0.45565042677645756,2.760963549180449,5.158477812301796
5.0,200.0,20.0,8,0.5163895796905863,3.3226580369979306,6.140954473716446
5.0,200.0,20.0,10,0.5700162140502817,3.8139869127237116,6.959659641715456
5.0,200.0,30.0,4,0.4388102139164331,2.2727024375705898,2.6613751501968137
5.0,200.0,30.0,6,0.5288126958553743,2.9725402810878534,3.3578904972006427
5.0,200.0,30.0,8,0.606565934299195,3.5633913940209783,3.8899876636891877
5.0,200.0,30.0,10,0.6751601476373944,4.074149856692769,4.310780108940854
5.0,200.0,40.0,4,0.48293131671967676,2.1760528957609875,1.7877087372026446
5.0,200.0,40.0,6,0.5889781473109653,2.8134478749458762,2.1947637905183925
5.0,200.0,40.0,8,0.6804028946342868,3.339155692867534,2.49548843049441
5.0,200.0,40.0,10,0.7609081375924772,3.783998004672237,2.7269256922525797
5.0,200.0,50.0,4,0.5174793887081771,1.921609233217276,1.2754230142539182
5.0,200.0,50.0,6,0.6355523729365107,2.441724441800831,1.531303418309589
5.0,200.0,50.0,8,0.7369720494586647,2.8578273731890804,1.717090066374259
5.0,200.0,50.0,10,0.8259834708562604,3.200319376537703,1.8581607833621567
5.0,250.0,5.0,4,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,250.0,5.0,6,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,250.0,5.0,8,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,250.0,5.0,10,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,250.0,12.5,4,0.1975327219095131,0.3113639787506936,0.2957418857086375
5.0,250.0,12.5,6,0.1975329695144513,0.31136703552796824,0.2957551218765099
5.0,250.0,12.5,8,0.1975332171181779,0.31137009229011897,0.29576835797757084
5.0,250.0,12.5,10,0.19753346472069275,0.3113731490371467,0.2957815940118182
5.0,250.0,25.0,4,0.2021140222628494,0.36445739512085185,0.49766189822756823
5.0,250.0,25.0,6,0.20435884444861935,0.39045104690890703,0.5963296106766691
5.0,250.0,25.0,8,0.20657430417050554,0.416090540051401,0.6935309863140822
5.0,250.0,25.0,10,0.20876134931715892,0.44138747284403335,0.7893154107713418
5.0,250.0,37.5,4,0.2339551308548566,0.6924730271120508,1.4252633660476766
5.0,250.0,37.5,6,0.2507023670178073,0.8663514763950736,1.929090299609281
5.0,250.0,37.5,8,0.2666291183901076,1.0309363857086014,2.399418517666629
5.0,250.0,37.5,10,0.28182572978408266,1.1872827723366746,2.8403291119522147
5.0,250.0,50.0,4,0.28578026175183013,1.1070615027392263,2.010806798969761
5.0,250.0,50.0,6,0.32426034767132067,1.4457101143891098,2.692565086493489
5.0,250.0,50.0,8,0.35986459896596634,1.7546704455479603,3.290124187645356
5.0,250.0,50.0,10,0.39304538070355355,2.03887077602421,3.819573823231846
5.0,250.0,62.5,4,0.34117051722293656,1.374583855400267,2.0250983859164933
5.0,250.0,62.5,6,0.40145127514141277,1.7978399996235492,2.6411730180379074
5.0,250.0,62.5,8,0.45619747460421817,2.170806166321914,3.1516171257626393
5.0,250.0,62.5,10,0.5064276278570916,2.503593640377173,3.5822724910373287
5.0,300.0,6.0,4,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,300.0,6.0,6,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,300.0,6.0,8,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,300.0,6.0,10,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,300.0,15.0,4,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,300.0,15.0,6,0.1975322266960016,0.31135786515077485,0.29571541317244676
5.0,300.0,15.0,8,0.1975322266960016,0.31135786515077485,0.29571541317244676
5.0,300.0,15.0,10,0.1975322266960016,0.3113578651507749,0.295715413172447
5.0,300.0,30.0,4,0.19753731943441222,0.31141831675838033,0.29595763625194865
5.0,300.0,30.0,6,0.19753986572481597,0.3114485415971558,0.2960787436759749
5.0,300.0,30.0,8,0.19754241196268887,0.3114787657926247,0.2961998483563868
5.0,300.0,30.0,10,0.19754495814803397,0.3115089893448234,0.2963209502933332
5.0,300.0,45.0,4,0.19918344936026616,0.32944480528977316,0.35609543924558
5.0,300.0,45.0,6,0.20000491622234148,0.338439499459551,0.3860935374161828
5.0,300.0,45.0,8,0.2008236511370982,0.3474020502837042,0.41596523731567936
5.0,300.0,45.0,10,0.20163967697406546,0.3563327332651955,0.44571167679560164
5.0,300.0,60.0,4,0.21282137398793435,0.45945636242784105,0.6777194539142544
5.0,300.0,60.0,6,0.22024154996578088,0.531018428272286,0.8601905941876439
5.0,300.0,60.0,8,0.22752139560912407,0.6010295660324246,1.0373803691611088
5.0,300.0,60.0,10,0.2346672181140064,0.6695625655875579,1.209563036633492
5.0,300.0,75.0,4,0.2443649130964189,0.6933130801875764,1.058266054986467
5.0,300.0,75.0,6,0.26625220649243253,0.8687516158249219,1.3958046308945946
5.0,300.0,75.0,8,0.28725093918702377,1.0352560197118716,1.7088742977223415
5.0,300.0,75.0,10,0.30744117757892936,1.193691936697081,2.0002669587029085
5.0,400.0,8.0,4,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,400.0,8.0,6,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,400.0,8.0,8,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,400.0,8.0,10,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,400.0,20.0,4,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,400.0,20.0,6,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,400.0,20.0,8,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,400.0,20.0,10,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,400.0,40.0,4,0.19753222670160783,0.31135786521781966,0.2957154134452798
5.0,400.0,40.0,6,0.19753222670441098,0.31135786525134207,0.29571541358169523
5.0,400.0,40.0,8,0.197532226707214,0.3113578652848649,0.2957154137181135
5.0,400.0,40.0,10,0.1975322267100171,0.3113578653183876,0.29571541385453115
5.0,400.0,60.0,4,0.1975357744954029,0.31139721162641537,0.295850994168856
5.0,400.0,60.0,6,0.1975375483741178,0.3114168846151391,0.29591878366900337
5.0,400.0,60.0,8,0.19753932223884266,0.3114365574378027,0.2959865725037958
5.0,400.0,60.0,10,0.1975410960895778,0.3114562300944112,0.2960543606732491
5.0,400.0,80.0,4,0.19801309907344028,0.31608943326660754,0.3085557531855179
5.0,400.0,80.0,6,0.1982532919047019,0.3184524786862747,0.31496617002742605
5.0,400.0,80.0,8,0.198493322862912,0.32081370262734277,0.3213701014464126
5.0,400.0,80.0,10,0.19873319222105254,0.32317310828852613,0.32776755991106404
5.0,400.0,100.0,4,0.2027541861723576,0.35480016191025293,0.3891128248561512
5.0,400.0,100.0,6,0.20534402182145403,0.37630093973674955,0.43514687069927904
5.0,400.0,100.0,8,0.2079200045172281,0.39765751811759925,0.4807473031195598
5.0,400.0,100.0,10,0.2104823117817315,0.41887187730557945,0.5259210334307639
5.0,500.0,10.0,4,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,500.0,10.0,6,0.1975322266960016,0.31135786515077485,0.2957154131724466
